"Datum","Station","Anzahl","Temperatur"
2017-01-12,31108,52,13.3333333333333
2017-01-12,31109,62,13.3333333333333
2017-01-12,31110,62,13.3333333333333
2017-01-12,31124,67,13.3333333333333
2017-01-12,31200,127,13.3333333333333
2017-01-12,31201,99,13.3333333333333
2017-01-12,31202,63,13.3333333333333
2017-01-12,31203,60,13.3333333333333
2017-01-12,31212,64,13.3333333333333
2017-01-12,31213,58,13.3333333333333
2017-01-12,31214,70,13.3333333333333
2017-01-12,31218,66,13.3333333333333
2017-01-12,31219,35,13.3333333333333
2017-01-12,31222,68,13.3333333333333
2017-01-12,31228,73,13.3333333333333
2017-01-12,31229,99,13.3333333333333
2017-01-12,31230,66,13.3333333333333
2017-01-12,31231,50,13.3333333333333
2017-01-12,31232,47,13.3333333333333
2017-01-12,31238,57,13.3333333333333
2017-01-12,31241,88,13.3333333333333
2017-01-12,31243,43,13.3333333333333
2017-01-12,31244,70,13.3333333333333
2017-01-12,31246,47,13.3333333333333
2017-01-12,31247,86,13.3333333333333
2017-01-12,31248,50,13.3333333333333
2017-01-12,31249,55,13.3333333333333
2017-01-12,31257,52,13.3333333333333
2017-01-12,31258,83,13.3333333333333
2017-01-12,31265,73,13.3333333333333
2017-01-12,31266,55,13.3333333333333
2017-01-12,31267,69,13.3333333333333
2017-01-12,31271,53,13.3333333333333
2017-01-12,31272,45,13.3333333333333
2017-01-12,31277,63,13.3333333333333
2017-01-12,31278,67,13.3333333333333
2017-01-12,31281,59,13.3333333333333
2017-01-12,31288,47,13.3333333333333
2017-01-12,31289,38,13.3333333333333
2017-01-12,31290,28,13.3333333333333
2017-01-12,31600,89,13.3333333333333
2017-01-12,31603,75,13.3333333333333
2017-01-12,31613,80,13.3333333333333
2017-01-12,31616,51,13.3333333333333
2017-01-12,31623,221,13.3333333333333
2017-01-12,31624,99,13.3333333333333
2017-01-12,31627,61,13.3333333333333
2017-01-12,31628,44,13.3333333333333
2017-01-13,31101,80,13.3333333333333
2017-01-13,31104,48,13.3333333333333
2017-01-13,31108,55,13.3333333333333
2017-01-13,31109,59,13.3333333333333
2017-01-13,31110,64,13.3333333333333
2017-01-13,31124,49,13.3333333333333
2017-01-13,31200,109,13.3333333333333
2017-01-13,31201,95,13.3333333333333
2017-01-13,31202,52,13.3333333333333
2017-01-13,31203,73,13.3333333333333
2017-01-13,31212,64,13.3333333333333
2017-01-13,31213,66,13.3333333333333
2017-01-13,31214,69,13.3333333333333
2017-01-13,31218,55,13.3333333333333
2017-01-13,31219,16,13.3333333333333
2017-01-13,31222,37,13.3333333333333
2017-01-13,31228,46,13.3333333333333
2017-01-13,31229,92,13.3333333333333
2017-01-13,31230,70,13.3333333333333
2017-01-13,31231,50,13.3333333333333
2017-01-13,31232,29,13.3333333333333
2017-01-13,31238,54,13.3333333333333
2017-01-13,31241,88,13.3333333333333
2017-01-13,31243,55,13.3333333333333
2017-01-13,31244,39,13.3333333333333
2017-01-13,31246,44,13.3333333333333
2017-01-13,31247,72,13.3333333333333
2017-01-13,31248,59,13.3333333333333
2017-01-13,31249,42,13.3333333333333
2017-01-13,31257,47,13.3333333333333
2017-01-13,31258,41,13.3333333333333
2017-01-13,31265,58,13.3333333333333
2017-01-13,31266,62,13.3333333333333
2017-01-13,31267,56,13.3333333333333
2017-01-13,31271,47,13.3333333333333
2017-01-13,31272,39,13.3333333333333
2017-01-13,31277,47,13.3333333333333
2017-01-13,31278,57,13.3333333333333
2017-01-13,31281,56,13.3333333333333
2017-01-13,31288,42,13.3333333333333
2017-01-13,31289,47,13.3333333333333
2017-01-13,31290,15,13.3333333333333
2017-01-13,31600,74,13.3333333333333
2017-01-13,31603,92,13.3333333333333
2017-01-13,31613,73,13.3333333333333
2017-01-13,31616,51,13.3333333333333
2017-01-13,31623,211,13.3333333333333
2017-01-13,31624,72,13.3333333333333
2017-01-13,31627,43,13.3333333333333
2017-01-13,31628,37,13.3333333333333
2017-01-14,31101,25,2.22222222222222
2017-01-14,31104,28,2.22222222222222
2017-01-14,31108,6,2.22222222222222
2017-01-14,31109,24,2.22222222222222
2017-01-14,31110,10,2.22222222222222
2017-01-14,31124,20,2.22222222222222
2017-01-14,31200,24,2.22222222222222
2017-01-14,31201,52,2.22222222222222
2017-01-14,31202,22,2.22222222222222
2017-01-14,31203,25,2.22222222222222
2017-01-14,31212,15,2.22222222222222
2017-01-14,31213,10,2.22222222222222
2017-01-14,31214,35,2.22222222222222
2017-01-14,31218,5,2.22222222222222
2017-01-14,31219,7,2.22222222222222
2017-01-14,31222,7,2.22222222222222
2017-01-14,31228,12,2.22222222222222
2017-01-14,31229,40,2.22222222222222
2017-01-14,31230,4,2.22222222222222
2017-01-14,31231,4,2.22222222222222
2017-01-14,31232,16,2.22222222222222
2017-01-14,31238,5,2.22222222222222
2017-01-14,31241,19,2.22222222222222
2017-01-14,31243,2,2.22222222222222
2017-01-14,31244,4,2.22222222222222
2017-01-14,31246,4,2.22222222222222
2017-01-14,31247,11,2.22222222222222
2017-01-14,31248,2,2.22222222222222
2017-01-14,31249,6,2.22222222222222
2017-01-14,31257,11,2.22222222222222
2017-01-14,31258,5,2.22222222222222
2017-01-14,31265,15,2.22222222222222
2017-01-14,31266,20,2.22222222222222
2017-01-14,31267,11,2.22222222222222
2017-01-14,31271,4,2.22222222222222
2017-01-14,31272,9,2.22222222222222
2017-01-14,31277,5,2.22222222222222
2017-01-14,31278,22,2.22222222222222
2017-01-14,31281,24,2.22222222222222
2017-01-14,31288,8,2.22222222222222
2017-01-14,31289,3,2.22222222222222
2017-01-14,31290,3,2.22222222222222
2017-01-14,31600,26,2.22222222222222
2017-01-14,31603,15,2.22222222222222
2017-01-14,31613,18,2.22222222222222
2017-01-14,31616,19,2.22222222222222
2017-01-14,31623,23,2.22222222222222
2017-01-14,31624,20,2.22222222222222
2017-01-14,31627,8,2.22222222222222
2017-01-14,31628,9,2.22222222222222
2017-01-15,31101,76,2.22222222222222
2017-01-15,31104,64,2.22222222222222
2017-01-15,31108,36,2.22222222222222
2017-01-15,31109,48,2.22222222222222
2017-01-15,31110,40,2.22222222222222
2017-01-15,31124,44,2.22222222222222
2017-01-15,31200,73,2.22222222222222
2017-01-15,31201,93,2.22222222222222
2017-01-15,31202,39,2.22222222222222
2017-01-15,31203,58,2.22222222222222
2017-01-15,31212,29,2.22222222222222
2017-01-15,31213,23,2.22222222222222
2017-01-15,31214,65,2.22222222222222
